nitrogen,phosphorus,potassium,ph,temperature_c,rainfall_mm,label
78,44,39,6.5,30,52,cotton
82,46,41,6.8,31,48,cotton
75,42,38,6.3,29,60,cotton
84,48,43,7.1,32,45,cotton
72,40,37,6.2,28,68,cotton
80,45,40,6.7,30,55,cotton
92,41,40,5.8,28,175,rice
97,39,42,6.1,27,190,rice
95,43,41,5.6,29,210,rice
90,38,39,5.4,26,160,rice
99,45,44,6.4,30,220,rice
88,40,38,5.7,27,145,rice
68,34,33,6.4,27,82,maize
72,36,35,6.2,29,76,maize
65,31,32,5.9,25,70,maize
74,38,36,6.7,30,88,maize
70,35,34,6.1,26,79,maize
63,30,31,6.5,24,68,maize
58,30,24,6.5,21,58,wheat
62,32,27,6.8,20,52,wheat
55,28,23,6.2,19,46,wheat
64,34,28,7.1,22,61,wheat
60,31,25,6.9,23,70,wheat
52,26,22,6.1,18,42,wheat
28,44,56,6.3,28,72,groundnut
24,47,58,6.6,27,66,groundnut
31,45,54,6.0,29,74,groundnut
22,42,59,6.4,26,58,groundnut
35,49,57,6.8,30,86,groundnut
27,43,53,6.1,25,62,groundnut

